int_rate,dti,fico_range_low,revol_util,annual_inc_log,loan_amnt_log,installment,open_acc,pub_rec,delinq_2yrs,credit_history_years,income_to_loan_ratio,installment_to_income,total_interest_burden,sub_grade_freq,emp_stable,revol_bal_log,annual_inc
5.32,20.37,680.0,24.5,10.668978650219241,8.699681400989514,180.69,8.0,0.0,0.0,8.752908966461328,7.166666666666667,0.050425116279069766,319.2,0.04785441473826107,1.0,8.503094267036737,43000.0
22.45,17.73,715.0,33.5,11.440365524765756,10.239995502805316,780.52,14.0,0.0,0.0,8.082135523613964,3.3214285714285716,0.10071225806451613,6286.0,0.006066052572455628,1.0,9.781263419790754,93000.0
26.06,31.68,675.0,69.7,11.127277689932466,10.159137015406596,774.14,18.0,0.0,0.0,13.91375770020534,2.633107454017425,0.13661294117647058,6729.995,0.0019096832172545495,1.0,9.941264916870159,68000.0
10.78,25.07,750.0,96.5,11.225256725762893,10.12667110305036,815.87,6.0,0.0,0.0,13.500342231348391,3.0,0.1305392,2695.0,0.06638957537631993,0.0,8.818038250394299,75000.0
8.49,13.61,680.0,51.8,11.229248693912288,9.433563920090563,394.54,15.0,0.0,0.0,16.418891170431213,6.024,0.06287490039840637,1061.25,0.054145135924511346,0.0,9.531481398171628,75300.0
14.85,36.24,690.0,64.8,11.112462823634855,9.952325334619427,726.44,20.0,0.0,0.0,12.334017796030116,3.1904761904761907,0.13010865671641791,3118.5,0.044147382610649294,0.0,10.770588040219511,67000.0
7.91,21.94,715.0,25.7,11.082157933374816,9.350189267092581,359.9,16.0,0.0,0.0,15.247091033538672,5.6521739130434785,0.06644307692307691,909.65,0.051561446865872836,1.0,9.467537463415244,65000.0
11.22,31.24,675.0,77.2,11.002116507732017,8.006700845440367,98.53,12.0,0.0,0.0,14.584531143052704,20.0,0.019706,336.6,0.060435857110761625,1.0,9.945061264446057,60000.0
11.99,14.12,680.0,64.4,10.668978650219241,8.853808274977197,232.47,6.0,1.0,0.0,16.418891170431213,6.142857142857143,0.0648753488372093,839.3,0.06762525275219052,1.0,7.803843303538772,43000.0
14.85,11.68,670.0,35.5,11.225256725762893,9.90353755128617,474.23,8.0,1.0,0.0,16.501026694045173,3.75,0.07587680000000001,2970.0,0.044147382610649294,0.0,8.656781205623291,75000.0
6.99,13.6,690.0,81.1,12.345838935721968,9.99884318585288,679.2,7.0,0.0,0.0,17.913757700205338,10.454545454545455,0.035436521739130436,1537.8,0.030891934396764773,1.0,10.2679223110863,230000.0
18.99,31.52,675.0,81.0,10.96247504642097,10.094149233605084,627.63,9.0,0.0,1.0,11.83025325119781,2.38297520661157,0.1306020670042311,4595.579999999999,0.015389800044933722,1.0,10.098478512430745,57668.0
9.17,18.23,680.0,29.8,10.714439990727769,8.517393171418904,159.4,4.0,0.0,0.0,20.501026694045173,9.0,0.042506666666666665,458.5,0.0636935520107841,1.0,7.107425474110705,45000.0
6.99,13.03,715.0,50.8,11.461642696843066,9.99884318585288,679.2,13.0,0.0,0.0,23.416837782340863,4.318181818181818,0.08579368421052631,1537.8,0.030891934396764773,0.0,9.693321922512176,95000.0
